text,label
Breaking: Massive earthquake shakes California! Buildings collapsing!,1
"Flood warning issued for Chennai, heavy rains expected.",1
Huge wildfire spreading rapidly across Australia. Stay safe!,1
"Fire in local apartment, emergency services on the way.",1
"Strong tornado sighted near Oklahoma, seek shelter immediately!",1
Heavy rains causing landslides in the hilly regions.,1
"Train derailment reported, casualties unknown.",1
"Minor road accident near central park, no major injuries.",0
Beautiful sunny day at the beach!,0
"Concert tonight at the city square, can't wait!",0
